has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_TH,number_of_TR,number_of_href,number_of_paragraph,number_of_script,length_of_title,URL,label
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,http://google.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,http://microsoft.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,92,8,http://facebook.com,0
1,1,1,0,0,1,0,1,1,0,0,33,22,1,264,214,0,0,28,140,37,51,http://cloudflare.com,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,http://mail.ru,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,42,7,http://youtube.com,0
1,1,1,0,0,1,0,0,1,0,1,5,17,0,0,132,0,0,144,38,15,5,http://apple.com,0
1,1,1,0,0,1,0,0,0,0,1,2,17,0,0,54,0,0,39,5,22,52,http://amazonaws.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,0,89,9,http://instagram.com,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://dzen.ru,0
1,0,1,0,0,1,0,0,0,0,0,0,32,0,0,188,0,0,19,20,20,29,http://office.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,7,http://live.com,0
1,1,1,0,0,1,0,0,1,0,0,4,44,0,0,183,0,0,80,13,6,27,http://linkedin.com,0
1,1,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,1,0,1,6,13,http://googlevideo.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,114,8,http://fbcdn.net,0
1,0,1,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,9,31,10,18,http://workers.dev,0
1,1,1,0,0,1,0,0,0,0,0,2,95,0,0,308,0,0,29,1,76,42,http://azure.com,0
1,0,1,0,0,1,0,0,0,0,0,0,16,0,11,100,0,0,8,38,10,72,http://doubleclick.net,0
1,1,1,0,0,1,0,1,1,0,1,13,46,0,0,137,0,0,39,27,65,61,http://github.com,0
1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,16,0,48,24,http://bing.com,0
1,1,1,0,0,1,0,1,0,0,0,2,20,0,4,35,0,0,5,10,9,58,http://netflix.com,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,http://digicert.com,0
1,0,1,0,0,1,0,0,0,0,0,0,29,1,0,85,0,0,31,22,16,42,http://fastly.net,0
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,21,0,0,75,15,18,65,http://whatsapp.net,0
1,1,1,0,0,1,0,0,0,0,0,1,9,0,0,61,0,0,181,19,16,55,http://wordpress.org,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,42,7,http://youtu.be,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,81,9,http://pinterest.com,0
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,http://googlesyndication.com,0
